Упакованное внимание, RTX 5090 (170 SM), 16 слоёв, KV fp8; мкс на слой

Сегмент одной последовательности
  строк |  старт |            MMA |    упакованное |     P=1 |     P=2 |     P=3 |     P=4 |     P=5 |     P=6 |     P=7 |     P=8 |     P=9 |    P=10 |    P=11 |    P=12 |    P=13 |    P=14 |    P=15 |    P=16 |    P=17 |    P=18 |    P=19 |    P=20 |    P=21 |    P=22 |    P=23 |    P=24 |    P=25 |    P=26 |    P=27 |    P=28 |    P=29 |    P=30 |    P=31 |    P=32 |    P=33 |    P=34 |    P=35 |    P=36 |    P=37 |    P=38 |    P=39 |    P=40 |    P=41 |    P=42 |    P=43 |    P=44 |    P=45 |    P=46 |    P=47 |    P=48
     32 |   8192 |            NaN |    71.4 (P=33) |   496.7 |   247.8 |   169.3 |   131.0 |   106.0 |    87.1 |    77.0 |    69.8 |    63.6 |    56.8 |    54.0 |    52.6 |    47.7 |    47.7 |    59.8 |    59.5 |    73.8 |    73.7 |    67.5 |    67.5 |    67.5 |    61.4 |    61.4 |    61.4 |    61.6 |    58.9 |    58.8 |    59.0 |    57.8 |    56.3 |    56.4 |    59.2 |    73.0 |    76.1 |    68.5 |    71.8 |    71.8 |    72.0 |    68.9 |    72.1 |    72.8 |    69.3 |    74.3 |    71.0 |    74.7 |    73.9 |    71.5 |    72.2
     48 |   8192 |            NaN |    96.5 (P=33) |   490.6 |   251.7 |   168.3 |   129.7 |   107.9 |    91.7 |    85.5 |    74.8 |    82.5 |   109.9 |   101.7 |    98.5 |    92.6 |    92.6 |    87.2 |    83.6 |    78.2 |    78.0 |    97.2 |    97.3 |    99.7 |    93.7 |    96.0 |    93.5 |    98.3 |    98.7 |   102.4 |    98.6 |    95.8 |    96.0 |    96.0 |    98.1 |    93.2 |    93.7 |    93.9 |    97.2 |    98.6 |    97.6 |    97.8 |    97.9 |    94.8 |   104.2 |   109.8 |   106.3 |   109.7 |   112.9 |   114.1 |   114.3
     64 |   8192 |            NaN |   114.9 (P=28) |   479.4 |   250.7 |   166.1 |   127.7 |   104.0 |    90.3 |    80.8 |   115.4 |   125.1 |   113.7 |   107.7 |    98.0 |    92.3 |    92.4 |   100.2 |   102.4 |   115.2 |   115.3 |   103.4 |   103.7 |   106.6 |   107.0 |   107.1 |   110.8 |   110.7 |   111.1 |   108.5 |   108.8 |   112.2 |   112.0 |   112.0 |   109.2 |   119.8 |   120.1 |   120.0 |   120.5 |   117.3 |   117.6 |   117.8 |   118.3 |   118.0 |   118.4 |   131.0 |   131.0 |   128.9 |   129.4 |   128.3 |   132.3
     96 |   8192 |            NaN |   142.9 (P=21) |   481.6 |   244.8 |   171.4 |   132.6 |   200.1 |   178.1 |   158.3 |   143.5 |   128.7 |   165.4 |   155.3 |   148.3 |   139.3 |   139.5 |   146.1 |   144.8 |   153.3 |   153.4 |   142.9 |   142.8 |   142.9 |   154.3 |   154.7 |   152.2 |   155.2 |   161.3 |   161.4 |   161.4 |   163.3 |   162.1 |   162.3 |   162.2 |   168.2 |   167.3 |   170.1 |   169.7 |   170.9 |   172.6 |   173.2 |   179.8 |   180.0 |   187.5 |   194.3 |   203.3 |   209.1 |   211.6 |   212.4 |   216.0
    128 |   8192 |            NaN |   183.6 (P=14) |   485.5 |   247.2 |   173.9 |   239.2 |   208.9 |   180.7 |   161.3 |   189.2 |   191.6 |   172.2 |   193.0 |   193.8 |   183.3 |   183.6 |   187.7 |   185.8 |   190.7 |   190.9 |   199.9 |   200.0 |   199.6 |   199.5 |   199.8 |   200.5 |   202.1 |   211.1 |   211.3 |   211.4 |   214.2 |   219.5 |   218.6 |   223.7 |   235.2 |   237.7 |   241.0 |   244.3 |   246.7 |   249.2 |   253.2 |   257.6 |   260.7 |   265.4 |   267.9 |   282.0 |   285.9 |   285.4 |   289.7 |   292.3
    192 |   8192 |            NaN |   274.3 (P=10) |   491.9 |   253.1 |   333.5 |   259.7 |   296.8 |   266.8 |   237.9 |   262.2 |   255.1 |   274.4 |   260.8 |   274.8 |   268.5 |   269.3 |   270.3 |   269.5 |   268.5 |   269.7 |   282.5 |   285.5 |   293.0 |   309.0 |   313.3 |   312.9 |   320.9 |   324.3 |   337.5 |   340.8 |   340.8 |   346.4 |   349.7 |   352.9 |   371.6 |   372.7 |   375.4 |   377.0 |   382.4 |   386.7 |   391.8 |   398.7 |   403.2 |   410.2 |   405.1 |   430.8 |   434.1 |   434.8 |   436.1 |   443.1
    256 |   8192 |            NaN |    314.8 (P=7) |   493.2 |   492.7 |   341.9 |   382.0 |   316.1 |   357.4 |   317.6 |   338.8 |   347.6 |   338.3 |   359.6 |   344.8 |   361.8 |   361.9 |   367.8 |   365.7 |   385.1 |   389.8 |   394.9 |   399.8 |   403.0 |   422.2 |   426.0 |   429.2 |   431.6 |   437.0 |   452.7 |   454.4 |   459.3 |   462.5 |   467.3 |   473.2 |   503.4 |   505.9 |   507.6 |   512.2 |   511.0 |   518.4 |   526.1 |   538.6 |   542.5 |   548.3 |   539.3 |   581.2 |   584.2 |   584.4 |   587.1 |   594.1
    384 |   8192 |            NaN |    520.5 (P=5) |   500.8 |   511.2 |   510.7 |   509.9 |   517.8 |   509.4 |   474.6 |   488.6 |   509.6 |   508.0 |   534.2 |   522.1 |   539.4 |   560.1 |   569.6 |   573.0 |   591.2 |   595.0 |   605.8 |   615.0 |   616.0 |   631.7 |   641.4 |   645.1 |   647.8 |   656.9 |   693.0 |   697.0 |   695.3 |   700.6 |   709.9 |   723.6 |   738.6 |   759.5 |   762.5 |   769.6 |   777.5 |   790.0 |   801.1 |   806.7 |   809.1 |   819.2 |   816.5 |   845.6 |   876.8 |   877.5 |   881.9 |   897.0
    512 |   8192 |            NaN |    655.5 (P=4) |  1008.8 |   804.3 |   690.0 |   655.5 |   642.0 |   646.6 |   669.9 |   713.5 |   715.4 |   725.6 |   753.4 |   736.0 |   756.0 |   789.5 |   793.7 |   769.4 |   829.3 |   809.9 |   829.1 |   841.0 |   842.1 |   846.0 |   908.9 |   899.3 |   880.9 |   913.5 |   968.8 |   987.6 |   982.1 |   988.9 |   985.6 |  1003.0 |  1021.5 |  1067.2 |  1066.9 |  1074.9 |  1108.0 |  1115.2 |  1112.5 |  1101.7 |  1121.7 |  1134.1 |  1140.7 |  1163.6 |  1220.0 |  1171.6 |  1180.3 |  1198.3
     32 |  16384 |            NaN |   112.0 (P=64) |   944.7 |   474.3 |   321.4 |   243.6 |   197.7 |   165.8 |   144.8 |   127.7 |   117.0 |   103.8 |   100.3 |    90.6 |    84.2 |    81.0 |    97.0 |   140.3 |   134.3 |   127.4 |   118.3 |   114.0 |   114.1 |   105.0 |   105.0 |   101.3 |    99.0 |    92.5 |    92.6 |    92.7 |   104.2 |   104.4 |   107.1 |   104.1 |   112.5 |   112.3 |   112.3 |   114.1 |   106.2 |   103.1 |   103.3 |   106.1 |   106.6 |   103.8 |   113.6 |   113.5 |   112.5 |   111.0 |   113.4 |   111.7
