Упакованное внимание, RTX 5090 (170 SM), 16 слоёв, KV fp8; мкс на слой

Сегмент одной последовательности
  строк |  старт |            MMA |    упакованное |     P=1 |     P=2 |     P=3 |     P=4 |     P=5 |     P=6 |     P=7 |     P=8 |     P=9 |    P=10 |    P=11 |    P=12 |    P=13 |    P=14 |    P=15 |    P=16 |    P=17 |    P=18 |    P=19 |    P=20 |    P=21 |    P=22 |    P=23 |    P=24 |    P=25 |    P=26 |    P=27 |    P=28 |    P=29 |    P=30 |    P=31 |    P=32 |    P=33 |    P=34 |    P=35 |    P=36 |    P=37 |    P=38 |    P=39 |    P=40 |    P=41 |    P=42 |    P=43 |    P=44 |    P=45 |    P=46 |    P=47 |    P=48
     32 |   8192 |            NaN |    46.5 (P=13) |   487.0 |   245.5 |   165.8 |   130.5 |   103.2 |    89.5 |    79.1 |    74.2 |    65.8 |    58.2 |    55.8 |    49.5 |    46.6 |    47.3 |    58.3 |    56.8 |    74.4 |    74.4 |    67.9 |    68.3 |    68.0 |    64.9 |    61.9 |    62.3 |    62.4 |    57.8 |    58.6 |    56.3 |    55.9 |    59.2 |    56.9 |    52.4 |    69.7 |    63.8 |    66.6 |    66.7 |    67.2 |    70.3 |    67.8 |    67.7 |    71.2 |    65.1 |    72.8 |    69.6 |    69.7 |    72.2 |    72.4 |    72.0
     48 |   8192 |            NaN |     76.7 (P=8) |   488.6 |   245.6 |   168.4 |   128.2 |   103.8 |    89.9 |    79.6 |    73.3 |    79.4 |   110.1 |   101.2 |    95.8 |    89.2 |    89.4 |    83.3 |    82.5 |    76.0 |    75.8 |    94.4 |    95.3 |   101.9 |    90.6 |    90.7 |    90.8 |    91.0 |    96.3 |    95.8 |    89.4 |    96.8 |    96.4 |    96.2 |    98.4 |    90.7 |    92.3 |    90.3 |    91.3 |    91.4 |    91.2 |    96.1 |    91.4 |    92.0 |    91.6 |    98.4 |   105.0 |   100.1 |   100.3 |   102.3 |    99.5
     64 |   8192 |            NaN |     81.6 (P=7) |   488.5 |   248.5 |   166.2 |   131.5 |   104.9 |    91.1 |    81.4 |   115.4 |   124.6 |   110.8 |   104.0 |    97.5 |    90.7 |    90.9 |   100.6 |   100.0 |   111.7 |   115.7 |   105.4 |    99.4 |   108.1 |   101.6 |   105.4 |   105.7 |   108.9 |    98.5 |   105.1 |   108.6 |   102.5 |   105.9 |   111.2 |   108.3 |   107.2 |   114.0 |   113.6 |   110.9 |   110.9 |   111.2 |   111.5 |   111.7 |   111.4 |   108.9 |   119.7 |   116.9 |   117.5 |   117.0 |   119.7 |   118.8
     96 |   8192 |            NaN |    128.7 (P=9) |   494.3 |   248.3 |   171.3 |   133.2 |   201.3 |   185.9 |   161.5 |   148.0 |   132.4 |   170.1 |   160.0 |   147.7 |   137.5 |   137.9 |   142.9 |   142.3 |   149.5 |   149.8 |   138.5 |   141.5 |   135.5 |   144.9 |   145.2 |   145.5 |   145.2 |   149.2 |   149.1 |   146.3 |   148.9 |   149.9 |   149.8 |   149.7 |   151.4 |   152.2 |   152.8 |   152.4 |   155.9 |   161.6 |   157.1 |   164.3 |   162.4 |   162.7 |   173.6 |   176.0 |   177.3 |   174.4 |   176.9 |   177.2
    128 |   8192 |            NaN |    163.2 (P=7) |   508.1 |   252.1 |   173.2 |   241.1 |   208.8 |   178.2 |   154.3 |   185.1 |   186.3 |   170.5 |   187.1 |   190.6 |   182.5 |   186.2 |   184.4 |   187.2 |   187.6 |   191.1 |   200.4 |   200.6 |   199.7 |   194.3 |   195.7 |   196.8 |   196.7 |   197.4 |   196.7 |   195.4 |   196.9 |   197.3 |   201.4 |   200.9 |   205.9 |   202.8 |   202.0 |   202.8 |   208.7 |   199.8 |   210.5 |   211.5 |   206.5 |   212.4 |   218.5 |   222.3 |   223.1 |   222.8 |   222.5 |   223.5
    192 |   8192 |            NaN |    233.7 (P=7) |   497.2 |   252.2 |   332.1 |   262.1 |   294.5 |   262.1 |   230.7 |   263.1 |   254.4 |   276.8 |   257.6 |   273.0 |   268.5 |   266.0 |   264.7 |   266.4 |   259.7 |   255.5 |   263.0 |   264.3 |   264.1 |   276.0 |   275.2 |   276.5 |   275.8 |   284.9 |   291.7 |   298.9 |   290.0 |   294.5 |   290.7 |   292.9 |   302.6 |   299.5 |   302.2 |   302.9 |   309.4 |   309.9 |   312.8 |   324.0 |   334.4 |   346.3 |   359.2 |   371.4 |   369.5 |   372.3 |   375.4 |   375.9
    256 |   8192 |            NaN |    315.4 (P=7) |   504.6 |   494.9 |   340.3 |   381.0 |   317.9 |   366.2 |   320.5 |   344.0 |   350.9 |   348.1 |   365.3 |   345.5 |   350.4 |   348.7 |   346.2 |   342.4 |   355.4 |   353.9 |   354.5 |   364.9 |   368.2 |   378.6 |   377.7 |   381.1 |   383.3 |   376.6 |   381.7 |   388.8 |   393.1 |   402.3 |   407.2 |   419.2 |   442.1 |   444.2 |   452.6 |   448.9 |   453.8 |   442.7 |   445.5 |   451.5 |   451.8 |   456.4 |   479.8 |   492.2 |   497.2 |   496.6 |   495.2 |   488.2
    384 |   8192 |            NaN |    469.0 (P=7) |   513.6 |   511.4 |   518.5 |   528.8 |   532.0 |   521.3 |   482.4 |   494.5 |   494.6 |   490.1 |   505.5 |   489.9 |   512.5 |   530.0 |   535.5 |   539.3 |   538.9 |   531.5 |   545.3 |   551.3 |   552.1 |   583.0 |   597.9 |   602.1 |   609.7 |   620.1 |   609.2 |   617.3 |   615.6 |   644.9 |   648.5 |   650.2 |   676.2 |   660.3 |   659.4 |   667.7 |   686.6 |   696.5 |   706.3 |   713.1 |   699.8 |   705.9 |   732.0 |   747.0 |   767.6 |   816.3 |   762.4 |   755.9
    512 |   8192 |            NaN |    637.5 (P=6) |  1034.2 |   801.2 |   721.9 |   689.2 |   648.0 |   638.4 |   634.3 |   665.8 |   682.1 |   674.1 |   675.7 |   662.6 |   675.0 |   691.4 |   707.5 |   719.7 |   749.2 |   760.1 |   749.7 |   749.9 |   753.8 |   802.9 |   813.0 |   819.1 |   799.0 |   813.0 |   822.9 |   857.7 |   864.1 |   869.6 |   850.2 |   852.1 |   881.2 |   919.9 |   927.3 |   908.1 |   908.0 |   913.9 |   958.6 |   970.2 |   963.3 |   957.6 |   962.7 |  1016.8 |  1031.7 |  1007.4 |  1006.2 |  1015.1
     32 |  16384 |            NaN |    79.8 (P=14) |   997.9 |   495.6 |   339.4 |   255.2 |   208.0 |   169.7 |   147.5 |   130.6 |   116.6 |   106.2 |    99.6 |    89.7 |    82.9 |    79.7 |    95.4 |   141.4 |   132.3 |   126.3 |   119.5 |   115.5 |   113.2 |   102.2 |   105.3 |    99.8 |    98.7 |    89.1 |   100.7 |    92.6 |   103.0 |   101.0 |   103.4 |   112.1 |   118.4 |   118.4 |   111.3 |   118.6 |    98.1 |   101.1 |   109.1 |    98.7 |   112.0 |   103.5 |   115.1 |   110.2 |   106.4 |   109.4 |   118.6 |   114.2
